TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
CPLE3;12,14;10,08;16,40;1,39;0,58;21,31;18,07;8,85;8,03;11,79;3,76;0,65;1,45;9,10;-0,74;1,43;8,50;3,56;8,15;0,42;0,58;0,40;6,88;2,10;183.477.258,00;8,71;0,74;-0,57;36.211.320.576,18
CPLE5;13,58;3,23;18,34;1,56;0,65;21,31;18,07;8,85;8,99;11,79;3,76;0,65;1,62;10,18;-0,83;1,43;8,50;3,56;8,15;0,42;0,58;0,40;6,88;2,10;166.483.786,77;8,71;0,74;-0,64;36.211.320.576,18
CPLE6;14,22;3,08;19,21;1,63;0,68;21,31;18,07;8,85;9,41;11,79;3,76;0,65;1,70;10,66;-0,87;1,43;8,50;3,56;8,15;0,42;0,58;0,40;6,88;2,10;121.075.705,00;8,71;0,74;-0,67;36.211.320.576,18
CPRE3;18,23;;10,21;2,26;1,01;63,22;46,54;29,15;6,39;6,38;-0,01;-0,01;2,98;3.979,65;-1,20;1,00;22,18;9,85;20,91;0,44;0,55;0,34;13,50;61,47;;8,05;1,79;-0,42;10.824.655.047,92
CREM3;14,50;;32,70;2,45;0,67;30,30;7,39;2,10;9,28;13,11;3,84;1,01;0,69;4,89;-1,69;1,29;7,50;2,05;9,29;0,27;0,73;0,98;1,09;;;5,91;0,44;22,14;465.122.474,00
CRFB3;8,48;0,01;9,84;0,83;0,19;18,14;3,75;1,52;3,99;8,47;4,49;0,94;0,15;5,86;-0,36;1,07;8,48;1,89;8,28;0,22;0,76;1,25;14,00;12,41;122.254.636,00;10,16;0,86;0,00;17.884.800.909,28
CRIV3;6,98;;35,10;0,66;0,04;20,26;0,43;0,99;81,37;80,16;;;0,35;0,07;-0,09;131,56;1,89;0,12;;0,06;0,94;0,12;27,56;-21,36;;10,50;0,20;-0,75;707.929.532,00
CRIV4;6,74;;33,89;0,64;0,04;20,26;0,43;0,99;78,57;80,16;;;0,33;0,07;-0,09;131,56;1,89;0,12;;0,06;0,94;0,12;27,56;-21,36;;10,50;0,20;-0,72;707.929.532,00
CRPG3;17,01;;-20,52;0,88;0,54;2,16;-4,84;-3,16;-13,40;-11,90;2,20;-0,14;0,65;1,50;-1,47;2,30;-4,29;-2,61;-6,82;0,61;0,39;0,83;2,32;;1.751,60;19,31;-0,83;0,26;519.636.168,09
CRPG5;18,39;;-22,18;0,95;0,58;2,16;-4,84;-3,16;-14,49;-11,90;2,20;-0,14;0,70;1,62;-1,58;2,30;-4,29;-2,61;-6,82;0,61;0,39;0,83;2,32;;61.655,26;19,31;-0,83;0,28;519.636.168,09
